Address,Neighbourhood,City,Price
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
3 Riverstone Road,Wynberg,Cape Town,2170000
7 Station Road,Rondebosch,Cape Town,5200000
F2 Bell Crescent,Westlake,Cape Town,1960000
F2 Bell Crescent,Westlake,Cape Town,3420000
F2 Bell Crescent,Westlake,Cape Town,1740000
F1 Westlake Square,Westlake,Cape Town,1800000
C11 Westlake Square,Westlake,Cape Town,1540000
Colosseum 3 St Georges Mall,Cape Town City Centre,Cape Town,3750000
170 Main Road,Plumstead,Cape Town,0
2 Riebeek Street,Cape Town City Centre,Cape Town,13440000
66 Victoria Road,Woodstock,Cape Town,8500000
2 Riebeek Street,Cape Town City Centre,Cape Town,26848000
443 Main Road,Observatory,Cape Town,8500000
D17 Westlake Square,Westlake,Cape Town,1720000
56 Shortmarket St,Cape Town City Centre,Cape Town,6900000
59 Innis Road,Wynberg,Cape Town,5250000
2 Riebeek Street,Cape Town City Centre,Cape Town,4376960
255 Long Street,Cape Town City Centre,Cape Town,28500000
7 Station Road,Rondebosch,Cape Town,3200000
71 Capricorn Drive,Capricorn,Cape Town,21000000
443 Main Road,Observatory,Cape Town,8500000
